Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Adaptronik,Adaptronik,FMB,,,,,,M.Sc. ab 3./ 4. Semester,Wintersemester,"Prof. Dr. Michael Sinapius, IFME","Prof. Dr. Michael Sinapius, IFME",deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Praktikum,"Präsenzzeiten: wöchentlich 2 h (Vorlesung) und Praktikum Selbständiges Bearbeiten der Experimente, Anfertigung von Ver-suchprotokollen, Präsentation der Ergebnisse",5,,Prinzipien der Adaptronik (BA-Studium),"Adaptronik schafft eine neue Klasse technischer, elastomechani-scher Systeme, die sich durch Einsatz neuer aktivierbarer Materia-lien und schneller digitaler Regler an unterschiedlichste Umge-bungsbedingungen selbsttätig anpassen können. Adaptronik hat 4 Zielfelder technischer Anwendungen:  Konturanpassung durch elastische Verformung  Vibrationsminderung durch Körperschallinterferenz  Schallreduktion durch aktive Maßnahmen  Lebensdauererhöhung durch strukturintegrierte Bauteilüber-wachung Die Studierenden sollen an Hand des interdisziplinären Forschungs-gebietes Adaptronik interdisziplinäres Denken in den Ingenieurwis-senschaften lernen und trainieren, wie es für den Ingenieurberuf ty-pisch ist. Adaptronik verknüpft werkstoffwissenschaftliche, mechanische, elektrotechnische und regelungstechnische Kenntnisse und Fähigkeiten. Die Übungen werden als Laborübungen durchgeführt. Im Praktikum lösen die Studenten selbständig komplexere Aufgabenstellungen, deren erfolgreiche Bearbeitung eine Voraussetzung für die Zulassung zur Prüfung ist.","Übersicht über Adaptronik, Anwendungen aus der Forschung Strukturintegrierbare Sensorik und Aktorik Strukturkonforme Integration von Aktoren und Sensoren Zielfeld Konturanpassung: Methoden des Morphing. Zielfeld Vibrationsunterdrückung: Körperschallinterferenz, Til-gung, Kompensation Zielfeld Schallreduktion: Konzepte der Aktiven Schallreduktion Autonome Systeme - Konzepte des Energy-Harvesting Konzepte integrierter Bauteilüberwachung Regelung Zuverlässigkeit / Robustheit Begleitendes Laborpraktikum: Selbständige Durchführung von Experimenten zu Adaptronik Messungen, Auswertung und Präsentation der Ergebnisse","Teilnahme am Labor, mündliche Prüfung",,
Advanced Database Models,Advanced Database Models,FIN,,,ADBM,,,M.Sc. ab 1. Semester; M.Sc. ab 2. Semester; M.Sc. ab 3./ 4. Semester,Sommersemester,Professur für Praktische Informatik / Datenbanken und Informationssysteme,Dr. Eike Schallehn,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,180h (56 h contact hours + 124 h self-study),6,,Database introduction course,"Comprehension of different non-relational database models, their basic concepts, and their historical development Comprehension of implications of non-relational data mod-els for query processing and application development Competence to use non-relational DBMS and based on their specific capabilities Competence to develop databases and according applica-tions using non-relational databases","Overview and history of database models NF2-, object-oriented, object-relational, and semi-structured database models Application of the database models and design methodolo-gies (extended ERM, UML, ODMG, XML Schema, etc.) Foundations of query languages (OQL, SQL:2003, XPath/XQuery, etc.) and query processing for non-relational data models",E   xamination requirements: Participation and active involvement in the course and the exercises Final examination: written (120 minutes),,
Advanced Topics in Databases,Advanced Topics in Databases,FIN,,,,,,M.Sc. ab 1. Semester,Sommersemester,Professur für Praktische Informatik / Datenbanken und Informationssysteme,Dr. David Broneske,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE (alt) - Bereich Methods II FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Classes (2 hours per week) Exercises in the lab and project work (2 hours per week) Homework (124 h): Further Studies Realization of the exercises and the student projects Preparation for the final examination 180h (56h contact hours + 124h self-study),6,,Knowledge about database foundations and about principles of in-ternal database operations,"In the lecture students will be made familiar with most recent technological developments in data management. The first goal is to enable the attendees to use these new technologies in their professional careers in industry. Furthermore, the lecture focuses on aspects currently addressed in scientific research being on the verge to wide usage in current applications, and this way, enabling students to participate in academic and industrial research.","Topics of the lecture will frequently change in accordance with cur-rent research directions in the database community and represent cutting-edge aspects as for instance Indexing and storage techniques for new applications and data types, Data management for embedded devices and sensor net-works, Self-management capabilities of database management sys-tems,etc.",E   xam requirements: Participation and active involvement in the course and the exercises Final examination: Oral,,http://wwwiti.cs.uni-magdeburg.de/iti_db/lehre/advdb/
Advanced Topics in Geometric Mechanics,Advanced Topics in Geometric Mechanics,FIN,,,GeomechAdvanced,,,M.Sc. ab 1. Semester,Sommersemester,Jun.-Prof. Dr. Christian Lessig,Jun.-Prof. Dr. Christian Lessig,englisch,FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE - Fundamentals of Data Science FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Seminar,"3 Credit Points = 90 h (28h Präsenzzeit + 62h selbstständige Arbeit), Notenskala gemäß Prüfungsordnung",3 CP,-,Strongly recommended: Wissenschaftliches Rechnen IV und V (Lagrangian and Hamiltonian geometric mechanics and reduction for systems on Lie groups),"In the seminar we will discuss recent papers from the literature on discrete geometric mechanics and the necessary background from the continuous theory. A particular emphasis will be on fluids and their structure preserving discretizations, with applications to computer graphics and weather and climate simulations.","Understanding of structure preserving discretizations of fluids and the trade-offs involvedAdvanced concepts from geometric mechanics (e.g. momentum maps, cotangent lift as a Poisson algebra homomorphism)",Oral Exam,"Tafel, Folien, Beispielprogramme","J. E. Marsden and T. S. Ratiu. Introduction to Mechanics and Symmetry: A Basic Exposition of Classical Mechanical Systems. Texts in Applied Mathematics. Springer-Verlag, New York, third ed. edition, 1999.J. E. Marsden and M. West. Discrete Mechanics and Variational Integrators. Acta Numerica, 10:357–515, 2001.D. D. Holm, T. Schmah, and C. Stoica. Geometric Mechanics and Symmetry: From Finite to Infinite Dimensions. Oxford texts in applied and engineering mathematics. Oxford University Press, 2009."
Advanced Topics in Machine Learning,Advanced Topics in Machine Learning,,,,ATiML,,,M.Sc. ab 1. Semester; M.Sc. ab 2. Semester; M.Sc. ab 3./ 4. Semester,Sommersemester,Professur für Data and Knowledge Engineering,Prof. Dr.-Ing. Andreas Nürnberger,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Methods I FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeiten: wöchentliche Vorlesung: 2 SWS wöchentliche Übung: 2 SWS Selbstständiges Arbeiten: Bearbeitung von Übungs- und Programmier-Aufgaben; Nachbereitung der Vorlesung 180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h selbstständige Arbeit),6,,"Grundlagen der Informatik, Grundlagen des Maschinellen Lernens, Programmierkenntnisse für die praktischen Übungen von Vorteil",Lernziele & erworbene Kompetenzen: Vertieftes Verständnis für ausgewählte Probleme und Kon-zepte maschineller Lernverfahren Kenntnis von weiterführenden Datenstrukturen und Algo-rithmen des Maschinellen Lernens Befähigung zur problemabhängigen Auswahl und Analyse komplexer Algorithmen des Maschinellen Lernens,Ausgewählte Themen aus dem Bereich Maschinelles Lernen wie spezielle Lernverfahren (z.B. SVM) oder spezielle Problem (wie z.B. massive Datensätze),L   eistungen: Bearbeitung der Übungsaufgaben Bearbeitung der Programmieraufgaben Erfolgreiche Präsentation der Ergebnisse in den Übungen Prüfung: mündlich (auch für Schein),"Powerpoint, Tafel",
Advanced Topics in Networking,Advanced Topics in Networking,FIN,,,ATN,,,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester,Wintersemester,Prof. Dr. David Hausheer,Prof. Dr. David Hausheer,englisch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Technische Informatik FIN: B.Sc. INF - Studienprofil - ForensikDesign@Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. INGINF - WPF Technische Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Vorlesungen (2h pro Woche) Theoretische und praktische Uebungen (2h pro Woche) Hausaufgaben (124h):  Weitere Studien Umsetzung der Uebungen Vorbereitung für die finale Prüfung,6 Kreditpunkte = 180h (56h Kontaktstunden + 124h Selbststudium) Noten gemäss Prüfungsbestimmungen,,Die Vorlesung Computernetze wird empfohlen,Studierende erhalten einen vertieften Einblick in verschiedene fortgeschrittene Themen im Bereich Netze.,"Der Kurs behandelt fortgeschrittene Themen aus dem Bereich Netze, u.a.:Overlay Netze für Content Delivery, z.B. P2P, BitTorrent, CDNs, Caching, Overlay Video StreamingDistributed Hash Tables (DHT), z.B. KademliaBlockchainsKryptowährungen und BitcoinEthereum und Smart ContractsSichere Netzwerkarchitekturen, z.B. SCIONCongestion Control, z.B. QUIC und Multipath-QUIC",Schriftliche Prüfung,,Lehrbücher gemäß Ankündigung. Folienskript der Vorlesung und Artikelkopien nach Bedarf.
Advanced Topics of KMD,Advanced Topics of KMD,FIN,,,AdvKMD,,,M.Sc. ab 1. Semester,Sommersemester,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II (Arbeitsgruppe KMD),Prof. Myra Spiliopoulou,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. DKE (alt) - Bereich Methods I FIN: M.Sc. DKE (alt) - Bereich Methods II FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik,Seminar,"Präsenzzeiten und selbstständiges Arbeiten: Selbständige Bearbeitung eines anspruchsvollen wissenschaftlichen Thema Selbstständige Arbeit in einem Kleinprojekt, z.B. für die Aufbereitung und Analyse von Daten zum vorgegebenen Thema (optional, themenabhängig) Präsenzzeit (inkl. Beratungstermine) für die Betreuung und Besprechung des Themas, Kontrolle des Fortschritts bei der Bearbeitung Vorbereitung einer Präsentation Vorbereitung der Hausarbeit, zu der auch die Inhalte der Präsentation gehören",6,,Grundlagen zu Data Mining ,"Lernziele & erworbene Kompetenzen: Selbstständige Durchführung von folgenden Aufgaben: Erwerb von Kenntnissen zu ausgewählten Themen von ""Knowledge Management & Discovery"" (Beispiele von Teilgebieten unter ""Inhalt"") Einarbeitung in einem anspruchsvollen wissenschaftlichen Gebiet Erwerb relevanter Literatur zum Thema, Gegenüberstellung von Literaturinhalten anhand von eigens abgeleiteten Vergleichskriterien Zusammenfassung und kritische Würdigung von Literatur zum vorgegebenen Thema, sowohl in mündlicher als auch in schriftlicher Form","Fortgeschrittene Themen zum Forschungsgebiet ""Knowledge Management & Discovery"", darunter Themen aus den Teilgebieten: Stream Mining (Stream) Recommenders Medical Mining Opinion (Stream) Mining Active & Semi-supervised (Stream) Learning",Prüfung: Hausarbeit,,Wissenschaftliche Literatur zu jedem Seminarthema; der Erwerb von weiterer relevanten Literatur gehört zu den Aufgaben der Studierenden im Rahmen des Seminars
Algorithm Engineering,Algorithm Engineering,FIN,,,,,,M.Sc. ab 1. Semester,,Professur für Theoretische Informatik / Algorithmische Geometrie,Prof. Dr. Stefan Schirra,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Informatikgrundlagen für Ingenieure FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,,"Präsenzzeiten: 4 SWS Vorlesung   Selbstständige Arbeit: Nachbereitung der Vorlesungen, Projekt 180h = 4 SWS = 56h Präsenzzeit + 124h selbst-ständige Arbeit",6,,Grundkenntnisse in Algorithmen und Datenstrukturen,"Lernziele & erworbene Kompetenzen: Ziel des Algorithm Engineering ist es, durch die enge Kopplung von Entwurf, Analyse, Implementierung und Experimenten die oft vorhandene Kluft zwischen Theorie und Praxis des Algorithmenentwurfs zu überbrücken. Fähigkeit zur Anwendung der Methoden des Algorithm Engineering. Fähigkeit zum Entwurf und zur Durchführung von Computerexperimenten zur Algorithmenanalyse","Kluft zwischen Theorie und Praxis des Algorithmenentwurfs, experimentelle Algorithmik, realistische Computermodelle, C++-Software-Bibliotheken, zertifizierende Algorithmen, Fallstudien.",P   rüfungsvorleistung: Bearbeitung des Projektes (Fallstudie) Prüfung: mündlich,,"Müller-Hannemann, Schirra (eds): Algorithm Engineering, Springer LNCS 5971 C. McGeoch: Algorithm Engineering"
Algorithmen und Datenstrukturen,Algorithms and Data Structures,FIN,,,AuD,,,B.Sc. ab 2. Semester,Sommersemester,Professoren der FIN,Dr. Christian Rössl,deutsch,FIN: B.Sc. CV - Kernfächer FIN: B.Sc. INF - Kernfächer FIN: B.Sc. INGINF - Kernfächer FIN: B.Sc. WIF - Gestalten,Vorlesung; Übung,"Präsenzzeiten: - 3 SWS Vorlesung - 2 SWS Übung Selbstständiges Arbeiten: - Lösung der Übungsaufgaben und Prüfungsvorbereitung, Pro-grammierwettbewerb","6 Credit Points = 180 h (70 h Präsenzzeit + 110 h selbstständige Ar-beit, Notenskala gemäß Prüfungsordnung",keine,,- Erwerb von Grundkenntnissen über die Konzepte der Informatik - Befähigung zu Lösung von algorithmischen Aufgaben und zum Design von Datenstrukturen - Vertrautheit mit der informatischen Denkweise beim Problemlösen,"- Listen - Bäume, Balancierte Suchbäume - Hashverfahren - Graphen - Dynamische Programmierung - Entwurf von Algorithmen - Suche in Texten",Prüfung: Klausur 120 Min. Prüfungsvorleistungen: erfolgreiches Bearbeiten der Übungsaufga-ben (Votierung) und des Programmierwettbewerbs,,- Saake/Sattler: Algorithmen und Datenstrukturen - Goodrich/Tamassia: Data Structures and Algorithms in Java - Sedgewick: Algorithms
Allgemeine Elektrotechnik,Electrical engineering and electronics,FEIT,,,,,,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester,Wintersemester,"Professur für Elektrotechnik / Elektrische Aktorik, Professur für Leitungselektronik",Prof. Dr.-Ing. Andreas Lindemann,deutsch,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - Elektrotechnik FIN: M.Sc. DIGIENG - Ingenieurgrundlagen für Informatiker,Vorlesung; Übung; Praktikum,Präsenzzeiten: 3SWS Selbstständiges Arbeiten: 3SWS,10,,"Mathematik I-II, Physik","Lernziele und zu erwerbende Kompetenzen: Erwerb der Kenntnisse und Fähigkeiten, die für das Verständnis elektrotechnischer Zusammenhänge notwendig sind","Die Lehrveranstaltung wendet sich an Studenten nichtelektronischer Studienrichtungen und vermittelt anwendungsbezogenes Grundwissen. In Vorlesung, Übung und Laborpraktikum werden folgende Stoffgebiete behandelt: Grundgrößen der Elektrotechnik Berechnung von Gleichstromkreisen Elektrisches und magnetisches Feld Wechselstromtechnik Einführung in die Halbleitertechnik und elektronische Schaltungen Grundzüge der Digitaltechnik Aufbau und Wirkprinzipien elektrischer Maschinen Messung elektrischer Größen","Übungsschein, Praktikumschein, Klausur",,"R. Busch: Elektrotechnik und Elektronik, Teubner Vlg. 2003 U. Seidel, E. Wagner: Allgemeine Elektrotechnik, Hanser Vlg. 1999"
